Language,Model,token_precision,token_recall,token_fscore,type_precision,type_recall,type_fscore,boundary_noedge_precision,boundary_noedge_recall,boundary_noedge_fscore,oversegmentation,undersegmentation
Japanese,DYMULTI-23,30.985694927014578,49.21762218166329,38.02933571503799,41.26501462208248,25.61689638791531,31.608745972756083,45.396024158959406,90.63120244129149,60.49206656655919,23.766352644403664,9.368797558708508
Japanese,MULTICUE-23,20.509328418759026,39.24671910303705,26.940128008404116,35.51068588816661,13.542108187233165,19.605068897014952,36.696688080752764,93.47715189329487,52.7027610513053,35.15638345658348,6.522848106705124
Japanese,PHOCUS-1S,48.48939283376888,60.6936452194332,53.881038397442765,47.819058528906545,28.576355816872088,35.73413713576898,58.4406306074715,83.44465245123942,68.65911410648897,13.050219251406636,16.555347548760572
Korean,DYMULTI-23,21.973692496982405,41.499304577200895,28.732787320282966,42.089406176918985,21.08668697625774,28.096561591516796,36.421083821894996,94.86743031884262,52.63319308914282,21.195416783749565,5.132569681157373
Korean,MULTICUE-23,7.951231894744152,20.704187649059993,11.48981095689088,24.8297791379153,7.7381994663519595,11.79802696498477,23.838806581599016,92.88904797790374,37.94021788061673,37.978692996357616,7.110952022096247
Korean,PHOCUS-1S,24.939381608429642,43.065084003474254,31.577117193575628,38.12890404491681,15.163432051017367,21.684656811609678,38.00079786803808,88.04891441971915,53.06256353034805,18.441403969975664,11.951085580280846
Mandarin,DYMULTI-23,35.5755871631585,52.185809702173934,42.30421216465969,74.64688025480032,68.89508612984069,71.64998400394299,63.5148994751065,99.62198782480525,77.56205808064048,15.04346810894786,0.378012175194756
Mandarin,MULTICUE-23,8.779002944555568,16.336820683223912,11.416030243572024,34.595844133007574,33.724127888614305,34.14433943124034,45.46262626596767,94.43670638787555,61.35342907528144,29.86091109151544,5.563293612124458
Mandarin,PHOCUS-1S,54.8254120750863,59.0910146193461,56.77835261440472,44.48750950663719,37.33367483929769,40.43114536625858,77.70136907257972,86.06898758145466,81.435798328186,6.788814831575695,13.931012418545336
Norwegian,DYMULTI-23,68.66237411500947,73.33970170169287,70.92372379532246,52.97609806700369,60.439181235764885,56.46147604205171,81.79683606300189,89.12525833123587,85.3033603740853,6.664268206291567,10.87474166876413
Norwegian,MULTICUE-23,53.194150458110265,63.50721414834753,57.89462819770931,38.311792496887705,49.327910396816165,43.12656437400564,69.5452305235393,87.27807983086782,77.40828932299392,12.841650300112374,12.72192016913217
Norwegian,PHOCUS-1S,70.36728889500073,71.87192658412637,71.10846908060309,51.427903764933795,48.95174994733394,50.15866268921002,83.55876627052535,85.88720558903908,84.70051193306668,5.677947875275007,14.11279441096092
Portuguese,DYMULTI-23,53.24411838359779,62.379445431322196,57.45047671916943,36.99565906370227,41.34730775180778,39.0502471732927,69.8768094088147,85.88261190668668,77.056358925577,11.222296220830069,14.117388093313318
Portuguese,MULTICUE-23,40.19784572922417,54.37977095086792,46.22504575478342,25.70544729270703,30.60565846157423,27.941052698133802,58.00611200811095,85.32120624149263,69.0597109221909,18.72044259586162,14.678793758507371
Portuguese,PHOCUS-1S,57.52412098056099,62.40841044822092,59.85737294531335,34.839475570890265,32.197635615747764,33.46103494355415,72.75507786916286,81.02761612164154,76.64849607018644,9.224625424835725,18.972383878358453
Romanian,DYMULTI-23,50.79301008465908,63.97732769409953,56.627670516605725,44.564288737831234,48.58344059048953,46.48629241255104,65.81049996098439,90.83309273024335,76.32263127207442,13.382310338696048,9.166907269756646
Romanian,MULTICUE-23,48.02391290199137,62.69547101389835,54.387480500839146,35.04216656119892,45.02554121712767,39.41033208710874,62.622571638157446,90.64575262904356,74.07193423661468,15.34230605906655,9.35424737095645
Romanian,PHOCUS-1S,64.97834606277249,67.5987160049371,66.24698563640051,48.769087472791526,47.97386703101644,48.359530528941505,78.05413942714847,82.67487665638033,80.25930895138399,6.631413115399224,17.325123343619666
Serbian,DYMULTI-23,42.950499736343644,59.38184935043781,49.84673284862548,45.6868203222,36.46959573095611,40.560110281318366,59.45160155974588,92.94526878253465,72.51731266092568,16.640923900361276,7.054731217465347
Serbian,MULTICUE-23,44.424237284929255,60.201769781266805,51.122470249344865,40.352305490829586,41.45121245277244,40.89048684708825,59.698324391718096,90.92595567372656,72.0730407036222,16.11580060662849,9.074044326273432
Serbian,PHOCUS-1S,51.64094358504889,60.84425097769281,55.8390481329964,42.25558852068903,31.34458537142683,35.965478919211144,66.35006849037057,83.9383485171007,74.04623594153847,11.269993821300242,16.061651482899293
Spanish,DYMULTI-23,40.85600351768862,54.98634778793776,46.87933961004201,36.88085512530155,31.503707342766308,33.97882632181529,59.46953655382249,88.87622858404355,71.25778754145524,16.771634800831873,11.123771415956465
Spanish,MULTICUE-23,17.643868705503507,32.16147473332588,22.78628656407242,20.05242266420398,9.23861714235355,12.642498261966994,37.98039460169246,82.6756544609238,52.04821583776412,37.392999903324885,17.32434553907621
Spanish,PHOCUS-1S,60.38307564277587,61.256680464110936,60.81297598224626,40.124612657219316,37.48632319063732,38.753609925309355,75.7443427610855,77.30281014731257,76.50607975598436,6.856329510713448,22.697189852687423
Swedish,DYMULTI-23,66.27148300782716,73.59715726657703,69.74217255808276,55.2905278557447,53.65067599483259,54.45619178689145,78.01118036314787,90.50409812097843,83.79381835547397,8.520050451918985,9.49590187902157
Swedish,MULTICUE-23,55.9959224906489,66.3875462912147,60.750018299378155,43.57182074521069,48.009201983164445,45.68112689654323,70.090878136085,88.93407360969853,78.39477622543119,12.6747945257458,11.065926390301462
Swedish,PHOCUS-1S,66.57301905165191,71.75112582082316,69.06115364450098,52.768526863485974,43.17183864451191,47.48742612798966,78.21738311950546,87.03743674246098,82.38270563181469,8.10860469630734,12.962563257539008
Turkish,DYMULTI-23,31.560225242657076,50.05636838546848,38.71214098784338,47.523077883450256,34.17378975907543,39.75694523930339,51.91506791785889,95.94104191599628,67.37249912892977,14.16454158311399,4.058958084003725
Turkish,MULTICUE-23,19.722780815830994,39.111460988538596,26.222006886768565,28.589764951571965,21.3768678640031,24.46223264636108,39.78677863803997,96.39536207900736,56.32428404666778,23.255017655825153,3.604637920992638
Turkish,PHOCUS-1S,38.94697154374337,53.060564453523384,44.91704109703191,40.37686547321141,26.120852728756994,31.719323500220774,56.83148439277606,86.6384135538921,68.62753799617667,10.498891108472046,13.361586446107898
