Fid	Value	Feature	Reference	Area
114A	Non-assignable	Subtypes of Asymmetric Standard Negation		Simple Clauses	
115A	No predicate negation	Negative Indefinite Pronouns and Predicate Negation		Simple Clauses	
116A	Interrogative word order	Polar Questions	Lederer 1969: 479	Simple Clauses	
122A	Relative pronoun	Relativization on Subjects		Complex Sentences	
123A	Relative pronoun	Relativization on Obliques		Complex Sentences	
124A	Subject is left implicit	'Want' Complement Subjects		Complex Sentences	
125A	Balanced/deranked	Purpose Clauses		Complex Sentences	
126A	Balanced/deranked	'When' Clauses		Complex Sentences	
127A	Balanced	Reason Clauses		Complex Sentences	
129A	Different	Hand and Arm	Breul 1906	Lexicon	
130A	Different	Finger and Hand	Breul 1906	Lexicon	
131A	Decimal	Numeral Bases		Lexicon	
132A	6	Number of Non-Derived Basic Colour Categories		Lexicon	
133A	11	Number of Basic Colour Categories		Lexicon	
134A	Green vs. blue	Green and Blue		Lexicon	
135A	Red vs. yellow	Red and Yellow		Lexicon	
136A	M-T pronouns, paradigmatic	M-T Pronouns		Lexicon	
136B	m in first person singular	M in First Person Singular		Lexicon	
137A	No N-M pronouns	N-M Pronouns		Lexicon	
137B	No m in second person singular	M in Second Person Singular		Lexicon	
138A	Words derived from Min Nan Chinese te	Tea		Lexicon	
142A	Affective meanings	Para-Linguistic Usages of Clicks		Other	
143A	Type 1 / Type 2	Order of Negative Morpheme and Verb	Lederer 1969: 583	Word Order	
143E	NegV	Preverbal Negative Morphemes	Lederer 1969: 583	Word Order	
143F	VNeg	Postverbal Negative Morphemes	Lederer 1969: 583	Word Order	
143G	None	Minor morphological means of signaling negation	Lederer 1969: 583	Word Order	
144A	More than one position	Position of Negative Word With Respect to Subject, Object, and Verb	Lederer 1969: 583	Word Order	
144B	End, not immed postverbal	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb	Lederer 1969: 583	Word Order	
144D	More than one construction	The Position of Negative Morphemes in SVO Languages	Lederer 1969: 583	Word Order	
144E	SVONeg/SONegV	Multiple Negative Constructions in SVO Languages	Lederer 1969: 583	Word Order	
144H	No NegSVO	NegSVO Order	Lederer 1969: 583	Word Order	
144I	No SNegVO	SNegVO Order	Lederer 1969: 583	Word Order	
144J	No SVNegO	SVNegO Order	Lederer 1969: 583	Word Order	
144K	NoDoubleNeg	SVONeg Order	Lederer 1969: 583	Word Order	
144L	More than one construction	The Position of Negative Morphemes in SOV Languages	Lederer 1969: 583	Word Order	
144M	SONegV/SVONeg	Multiple Negative Constructions in SOV Languages	Lederer 1969: 583	Word Order	
144P	No NegSOV	NegSOV Order	Lederer 1969: 583	Word Order	
144Q	No SNegOV	SNegOV Order	Lederer 1969: 583	Word Order	
144R	Word&NoDoubleNeg	SONegV Order	Lederer 1969: 583	Word Order	
144S	NoSOVNeg	SOVNeg Order	Lederer 1969: 583	Word Order	
